,Kingdom,Phylum,Class,Order,Family,Genus,Species
bdfcba4d9728f78a13ddbe6828be2cd0,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
13d7aec2ba65c0e6bfcc657624b21a57,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
081cc4702f09b70f4caa644e6e438f34,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
39dcb5af7f6a28260ac819a22f897d0d,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
398b4df6fcce7b0cbae145f993e284e0,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
12320238c13baeb72ed8f3c77f31de9c,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
065d9dc6edf5dd39d7d2a08fe1814dfc,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
4c05d1636ddd102d054a022267a14b0f,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
f8a542752571c1ad7eef3935ef7aaae5,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
1e24965e628f34815c477e206908351f,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
b3230d6a77dd2a24564f1513a180676d,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
6b59fec0008b0a43cf0ddc8077fc9277,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
9709974f90d6eefbfa821fd25cbe3e09,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
4f1b6134145c1eb3ed7518fe1c3f4b8f,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
1f8411ca15ba5d3883a2be915076538b,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
50ad9d09ca430fec96f3440a87b8a791,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
2b5f76060be9fdaa098e7d7bbd4d269e,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
3bcfa19b1d6a907c263b0e51821f8043,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
58874cf3557b1cd57d45be7a6eda3f3e,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
bef49116f9670c782ed3cf9d6e1c6050,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
a2ff2d7bc20e5b870adbeb2ac305f7cb,d__Bacteria,p__Spirochaetota,c__Spirochaetia,o__Sphaerochaetales,f__Sphaerochaetaceae,g__Unclassified,s__Unclassified
